Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.40,-.54,-.24,-.31,-.06,-.19,-.23,-.28,-.26,-.32,-.46,-.43,-.31,***,***,-.21,-.23,-.35
1881,-.32,-.26,-.07,-.03,.03,-.35,.08,-.07,-.29,-.45,-.39,-.25,-.20,-.21,-.34,-.03,-.12,-.38
1882,.24,.19,.00,-.32,-.25,-.30,-.29,-.18,-.27,-.53,-.35,-.71,-.23,-.19,.06,-.19,-.26,-.39
1883,-.59,-.67,-.16,-.31,-.27,-.13,-.07,-.24,-.35,-.18,-.46,-.17,-.30,-.35,-.66,-.25,-.15,-.33
1884,-.18,-.12,-.65,-.60,-.37,-.43,-.42,-.53,-.46,-.46,-.59,-.48,-.44,-.42,-.16,-.54,-.46,-.50
1885,-1.03,-.47,-.25,-.50,-.60,-.47,-.36,-.43,-.41,-.38,-.40,-.12,-.45,-.48,-.66,-.45,-.42,-.40
1886,-.76,-.85,-.72,-.38,-.35,-.39,-.16,-.45,-.34,-.33,-.42,-.22,-.45,-.44,-.58,-.48,-.33,-.36
1887,-1.09,-.72,-.45,-.40,-.27,-.22,-.26,-.57,-.22,-.50,-.29,-.45,-.45,-.43,-.68,-.37,-.35,-.34
1888,-.50,-.63,-.65,-.23,-.16,-.04,-.02,-.23,-.21,-.05,-.02,-.25,-.25,-.27,-.53,-.35,-.10,-.09
1889,-.30,.28,-.03,.15,-.05,-.08,-.09,-.22,-.31,-.43,-.63,-.56,-.19,-.16,-.09,.02,-.13,-.46
1890,-.65,-.59,-.49,-.27,-.37,-.18,-.25,-.41,-.37,-.12,-.65,-.49,-.40,-.41,-.60,-.38,-.28,-.38
1891,-.48,-.68,-.17,-.37,-.17,-.15,-.14,-.14,-.09,-.29,-.54,-.03,-.27,-.31,-.55,-.24,-.14,-.31
1892,-.52,-.20,-.68,-.46,-.24,-.07,-.39,-.35,-.22,-.29,-.84,-.69,-.41,-.36,-.25,-.46,-.27,-.45
1893,-1.53,-.97,-.34,-.32,-.45,-.19,-.16,-.36,-.30,-.30,-.35,-.62,-.49,-.50,-1.06,-.37,-.24,-.32
1894,-.94,-.44,-.23,-.56,-.28,-.43,-.22,-.29,-.34,-.29,-.50,-.37,-.41,-.43,-.67,-.36,-.31,-.38
1895,-.72,-.82,-.51,-.21,-.32,-.22,-.20,-.29,-.07,-.11,-.15,-.25,-.32,-.33,-.64,-.35,-.24,-.11
1896,-.38,-.20,-.51,-.62,-.18,.06,-.02,-.13,-.14,.03,-.22,-.23,-.21,-.21,-.28,-.44,-.03,-.11
1897,-.42,-.43,-.41,-.07,.11,-.08,.02,-.08,-.08,-.17,-.27,-.31,-.18,-.18,-.36,-.12,-.05,-.18
1898,.02,-.47,-.82,-.30,-.30,-.11,-.14,-.20,-.20,-.39,-.53,-.29,-.31,-.31,-.25,-.47,-.15,-.37
1899,-.16,-.66,-.61,-.25,-.27,-.38,-.19,-.09,-.07,.02,.33,-.50,-.23,-.22,-.37,-.38,-.22,.10
1900,-.64,-.16,.03,-.13,-.06,-.13,-.14,-.11,-.05,.21,-.15,-.05,-.11,-.15,-.43,-.05,-.13,.00
1901,-.37,-.12,.24,.08,-.14,-.02,-.01,-.18,-.30,-.34,-.21,-.42,-.15,-.12,-.18,.06,-.07,-.28
1902,-.16,-.05,-.39,-.40,-.42,-.42,-.35,-.31,-.35,-.34,-.49,-.62,-.36,-.34,-.21,-.40,-.36,-.39
1903,-.25,.09,-.18,-.48,-.45,-.48,-.45,-.57,-.51,-.48,-.42,-.59,-.40,-.40,-.26,-.37,-.50,-.47
1904,-.79,-.63,-.48,-.52,-.46,-.50,-.61,-.56,-.65,-.41,-.11,-.37,-.51,-.53,-.67,-.49,-.56,-.39
1905,-.44,-.84,-.25,-.48,-.32,-.30,-.24,-.26,-.21,-.29,.07,-.19,-.31,-.33,-.55,-.35,-.26,-.14
1906,-.57,-.54,-.22,.02,-.26,-.12,-.28,-.19,-.26,-.19,-.42,.01,-.25,-.27,-.43,-.15,-.20,-.29
1907,-.60,-.74,-.33,-.47,-.60,-.53,-.42,-.41,-.42,-.21,-.58,-.61,-.49,-.44,-.45,-.47,-.45,-.40
1908,-.56,-.29,-.72,-.50,-.31,-.32,-.38,-.59,-.34,-.48,-.65,-.57,-.48,-.48,-.49,-.51,-.43,-.49
1909,-.96,-.48,-.68,-.68,-.52,-.54,-.48,-.38,-.39,-.37,-.14,-.60,-.52,-.52,-.67,-.63,-.47,-.30
1910,-.38,-.40,-.52,-.44,-.33,-.47,-.40,-.42,-.45,-.34,-.63,-.83,-.47,-.45,-.46,-.43,-.43,-.47
1911,-.72,-.61,-.65,-.48,-.48,-.37,-.41,-.45,-.40,-.21,-.22,-.32,-.44,-.48,-.72,-.54,-.41,-.27
1912,-.37,-.18,-.62,-.18,-.14,-.16,-.55,-.79,-.83,-.87,-.54,-.59,-.49,-.46,-.29,-.32,-.50,-.74
1913,-.59,-.66,-.50,-.53,-.57,-.52,-.54,-.49,-.44,-.41,-.16,.09,-.44,-.50,-.61,-.53,-.51,-.34
1914,.14,-.12,-.38,-.41,-.21,-.25,-.36,-.31,-.32,-.03,-.24,-.07,-.21,-.20,.04,-.33,-.31,-.20
1915,-.28,-.10,-.25,.06,-.02,-.14,-.11,-.18,-.23,-.29,-.05,-.26,-.15,-.14,-.15,-.07,-.15,-.19
1916,-.12,-.19,-.41,-.36,-.40,-.52,-.36,-.39,-.51,-.37,-.48,-1.15,-.44,-.36,-.19,-.39,-.42,-.46
1917,-.55,-.70,-.76,-.66,-.75,-.51,-.35,-.42,-.33,-.65,-.34,-1.08,-.59,-.60,-.80,-.73,-.42,-.44
1918,-.72,-.48,-.27,-.61,-.51,-.47,-.36,-.39,-.27,-.06,-.24,-.58,-.41,-.46,-.76,-.47,-.41,-.19
1919,-.40,-.41,-.40,-.26,-.44,-.41,-.35,-.32,-.21,-.11,-.49,-.57,-.36,-.36,-.46,-.36,-.36,-.27
1920,-.17,-.30,-.01,-.23,-.23,-.27,-.27,-.33,-.36,-.41,-.47,-.73,-.31,-.30,-.35,-.16,-.29,-.41
1921,.17,-.10,-.12,-.18,-.26,-.16,-.05,-.31,-.19,-.01,-.12,-.14,-.12,-.17,-.22,-.19,-.17,-.11
1922,-.40,-.64,-.12,-.17,-.19,-.16,-.29,-.38,-.43,-.32,-.14,-.17,-.28,-.28,-.39,-.16,-.28,-.29
1923,-.18,-.48,-.40,-.54,-.40,-.25,-.31,-.30,-.18,.05,.14,.10,-.23,-.25,-.28,-.45,-.29,.00
1924,-.28,-.21,.02,-.27,-.07,-.20,-.23,-.28,-.24,-.25,.11,-.38,-.19,-.15,-.13,-.11,-.24,-.13
1925,-.28,-.37,-.23,-.17,-.22,-.27,-.27,-.21,-.06,-.10,.22,.22,-.15,-.20,-.34,-.21,-.25,.02
1926,.53,.18,.38,-.13,-.23,-.21,-.21,-.07,-.04,.05,.16,-.31,.01,.05,.31,.00,-.16,.06
1927,-.29,-.08,-.47,-.27,-.15,-.15,-.09,-.16,.02,.24,.10,-.38,-.14,-.13,-.23,-.30,-.13,.12
1928,.25,.08,-.23,-.33,-.18,-.33,-.12,-.20,-.16,-.09,.03,-.04,-.11,-.14,-.01,-.25,-.22,-.07
1929,-.57,-.80,-.19,-.36,-.28,-.40,-.37,-.21,-.22,-.03,-.03,-.66,-.34,-.29,-.47,-.28,-.33,-.09
1930,-.13,-.20,.11,-.16,-.21,-.13,-.04,.01,-.03,.02,.44,.08,-.02,-.08,-.33,-.09,-.06,.14
1931,.01,-.23,-.07,-.21,-.15,.14,.07,.08,.17,.36,.25,.10,.04,.04,-.05,-.14,.10,.26
1932,.38,-.20,-.21,.09,-.11,-.15,-.16,-.09,.10,.13,-.33,-.23,-.06,-.04,.09,-.08,-.13,-.03
1933,-.19,-.31,-.32,-.17,-.27,-.32,-.15,-.15,-.28,-.18,-.25,-.55,-.26,-.23,-.24,-.25,-.21,-.24
1934,-.15,.32,-.28,-.29,.08,-.02,-.05,-.11,-.14,.12,.26,.17,-.01,-.07,-.13,-.16,-.06,.08
1935,-.41,.56,.03,-.37,-.29,-.16,-.05,-.07,-.06,.11,-.32,-.17,-.10,-.07,.11,-.21,-.09,-.09
1936,-.29,-.50,-.12,-.06,-.01,.03,.08,.02,.06,.07,.14,.14,-.04,-.06,-.32,-.07,.04,.09
1937,.08,.24,-.23,-.07,.11,.14,.14,.15,.28,.32,.23,-.01,.11,.13,.15,-.06,.14,.28
1938,.35,.28,.34,.30,.02,-.08,-.03,.07,.14,.30,.29,-.14,.15,.16,.21,.22,-.01,.25
1939,.02,-.02,-.25,-.09,.00,-.01,.04,.07,.11,.06,.24,.77,.08,.00,-.05,-.12,.04,.14
1940,-.11,.13,.02,.27,.15,.16,.14,.06,.25,.27,.29,.35,.17,.20,.26,.15,.12,.27
1941,.17,.46,.12,.12,.23,.20,.24,.18,.10,.50,.17,.18,.22,.24,.33,.15,.21,.25
1942,.40,-.09,-.01,.08,.16,.10,-.02,-.09,.10,.27,.25,.26,.12,.11,.16,.08,.00,.21
1943,-.10,.38,-.01,.30,.22,-.08,-.03,.09,.13,.46,.36,.36,.17,.16,.18,.17,.00,.31
1944,.62,.43,.31,.18,.23,.16,.14,.16,.36,.44,.19,-.01,.27,.30,.47,.24,.16,.33
1945,.11,-.06,.10,.29,.08,.07,.06,.28,.20,.24,.09,-.22,.10,.12,.02,.15,.14,.18
1946,.34,.09,.12,.32,.03,-.05,-.04,-.10,-.04,.02,.07,-.45,.02,.04,.07,.15,-.06,.02
